epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,342.55,1.36078,1.33638,1.36366,1.26048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,354.504,1.33068,1.2951,1.28692,1.26459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,366.45,1.26758,1.27302,1.30642,1.22483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,378.304,1.31089,1.14847,1.21963,1.22713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,390.851,1.17082,1.14444,1.16678,1.12873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,403.785,1.23115,1.16113,1.21168,1.20163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,416.337,1.17863,1.20115,1.15917,1.13692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,429.634,1.24734,1.22146,1.19693,1.17694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,442.568,1.19455,1.25726,1.15778,1.14865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,455.213,1.12116,1.16908,1.10481,1.12424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,467.656,1.11914,1.16774,1.06453,1.13859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,480.354,1.12865,1.15457,1.2257,1.12592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,492.915,1.13521,1.27395,1.07901,1.13123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,505.58,1.09083,1.04982,1.11746,1.11488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,518.174,1.14101,1.19844,1.07193,1.1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
